代码,名称,标签,币种,最终限额,限额来源,F10购买信息限额,F10基本概况限额,审计状态
000988,嘉实全球互联网股票人民币,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
013329,嘉实全球价值股票(QDII)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
013328,嘉实全球价值股票(QDII)人民币,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016667,景顺长城全球半导体芯片股票A(QDII-LOF)(美元现汇),全球,美元,,,,,未抓到公开限额
501225,景顺长城全球半导体芯片股票A(QDII-LOF)(人民币),全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016668,景顺长城全球半导体芯片股票C(QDII-LOF)(人民币),全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017972,摩根海外稳健配置混合(QDII-FOF)美元现钞,全球,美元,,,,,未抓到公开限额
017971,摩根海外稳健配置混合(QDII-FOF)美元现汇,全球,美元,,,,,未抓到公开限额
017970,摩根海外稳健配置混合(QDII-FOF)人民币A,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
020512,摩根海外稳健配置混合(QDII-FOF)人民币C,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
003630,摩根全球多元配置(QDII-FOF)美元现钞,全球,美元,,,,,未抓到公开限额
003631,摩根全球多元配置(QDII-FOF)美元现汇,全球,美元,,,,,未抓到公开限额
003629,摩根全球多元配置(QDII-FOF)人民币A,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
019512,摩根全球多元配置(QDII-FOF)人民币C,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
202801,南方全球精选配置股票(QDII-FOF)A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
023591,南方全球精选配置股票(QDII-FOF)C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
006555,浦银安盛全球智能科技(QDII)A,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
014002,浦银安盛全球智能科技(QDII)C,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
017071,申万菱信全球新能源股票型发起式(QDII)A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
017072,申万菱信全球新能源股票型发起式(QDII)C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
016664,天弘全球高端制造混合(QDII)A,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
016665,天弘全球高端制造混合(QDII)C,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
164212,天弘全球新能源汽车股票(QDII-LOF)A,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
016823,天弘全球新能源汽车股票(QDII-LOF)C,全球,人民币,1.00万元,天天基金F10购买信息,1.00万元,,一致/单源
012535,万家全球成长一年持有期混合(QDII)A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
012536,万家全球成长一年持有期混合(QDII)C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
012921,易方达全球成长精选混合(QDII)美元现汇A,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012923,易方达全球成长精选混合(QDII)美元现汇C,全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
012920,易方达全球成长精选混合(QDII)人民币A,全球,人民币,20元,天天基金F10基本概况实时交易状态,20.00元,20元,一致/单源
012922,易方达全球成长精选混合(QDII)人民币C,全球,人民币,20元,天天基金F10基本概况实时交易状态,20.00元,20元,一致/单源
019157,易方达全球配置混合(QDII)A(美元现汇),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
019155,易方达全球配置混合(QDII)A(人民币),全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
019158,易方达全球配置混合(QDII)C(美元现汇),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
019156,易方达全球配置混合(QDII)C(人民币),全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
008285,易方达全球医药行业混合发起式(QDII)A(美元现汇),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
008284,易方达全球医药行业混合发起式(QDII)A(人民币),全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
019036,易方达全球医药行业混合发起式(QDII)C(美元现汇),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
019035,易方达全球医药行业混合发起式(QDII)C(人民币),全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
018229,易方达全球优质企业混合(QDII)A(人民币份额),全球,人民币,5.00万元,天天基金F10购买信息,5.00万元,,一致/单源
018232,易方达全球优质企业混合(QDII)C(美元现汇份额),全球,美元,0美元,天天基金F10基本概况实时交易状态,0.00美元,0美元,一致/单源
018230,易方达全球优质企业混合(QDII)C(人民币份额),全球,人民币,5.00万元,天天基金F10购买信息,5.00万元,,一致/单源
016701,银华海外数字经济量化选股混合发起式(QDII)A,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
016702,银华海外数字经济量化选股混合发起式(QDII)C,全球,人民币,10.00万元,天天基金F10购买信息,10.00万元,,一致/单源
015204,银华全球新能源车量化优选股票(QDII)A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
015205,银华全球新能源车量化优选股票(QDII)C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
501226,长城全球新能源车股票发起式(QDII)A,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
018036,长城全球新能源车股票发起式(QDII)C,全球,人民币,100元,天天基金F10基本概况实时交易状态,100.00元,100元,一致/单源
008183,招商普盛全球配置(QDII-FOF)美元现钞,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
007975,招商普盛全球配置(QDII-FOF)美元现汇,全球,美元,0美元,天天基金F10基本概况实时交易状态,,0美元,一致/单源
007729,招商普盛全球配置(QDII)人民币A,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
023559,招商普盛全球配置(QDII)人民币C,全球,人民币,无限额,天天基金F10购买信息,无限额,,一致/单源
025339,招商普盛全球配置(QDII)人民币D,全球,人民币,,,,,未抓到公开限额
163813,中银全球策略(QDII-FOF)A,全球,人民币,500.00万元,天天基金F10购买信息,500.00万元,,一致/单源
020957,中银全球策略(QDII-FOF)C,全球,人民币,500.00万元,天天基金F10购买信息,500.00万元,,一致/单源
